100;1;0.000000;0.000034
100;2;0.000000;0.000054
100;4;0.000000;0.000088
100;8;0.000000;0.000237
100;16;0.000000;0.000520
100;32;0.000000;0.001122
100;64;0.000000;0.002136
500;1;0.000000;0.000037
500;2;0.000000;0.000059
500;4;0.000000;0.000084
500;8;0.000000;0.000242
500;16;0.000000;0.000518
500;32;0.000000;0.001042
500;64;0.000000;0.002195
1000;1;0.000000;0.000039
1000;2;0.000000;0.000055
1000;4;0.000000;0.000094
1000;8;0.000000;0.000237
1000;16;0.000000;0.000510
1000;32;0.000000;0.001025
1000;64;0.000000;0.002193
5000;1;0.000000;0.000050
5000;2;0.000000;0.000054
5000;4;0.000000;0.000087
5000;8;0.000000;0.000242
5000;16;0.000000;0.000519
5000;32;0.000000;0.001071
5000;64;0.000000;0.002199
10000;1;0.000000;0.000057
10000;2;0.000000;0.000070
10000;4;0.000000;0.000089
10000;8;0.000000;0.000263
10000;16;0.000000;0.000529
10000;32;0.000000;0.001035
10000;64;0.000000;0.002188
20000;1;0.000000;0.000070
20000;2;0.000000;0.000068
20000;4;0.000000;0.000092
20000;8;0.000000;0.000269
20000;16;0.000000;0.000530
20000;32;0.000000;0.001074
20000;64;0.000000;0.002170
